Componente,Figma,Implementación,Roles afectados en página,Estilos afectados,Hallazgo/acción
Accordion,1771:909,src/components/ui/accordion.tsx,border; foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Alert,1178:530,src/components/ui/alert.tsx,border; foreground; card/foreground; muted/foreground; primary; destructive,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Alert Dialog,1187:612,src/components/ui/alert-dialog.tsx,background; border; muted; foreground; popover/foreground; muted/foreground; primary; destructive/20%; destructive/light; destructive/light-border; destructive/light-foreground,,"Geometría principal 384×148, radio 14 px y bg-popover ya representados en código. Cambian los valores de popover, foreground y muted; el footer usa muted/50 en código."
Attachment,2827:14904,src/components/ui/attachment.tsx,border; muted; foreground; muted/foreground; primary/15%; destructive/30%; destructive/10%; destructive,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Avatar,246:2681,src/components/ui/avatar.tsx,primary/15%; success/default-border; foreground; success; muted; muted/foreground; primary/10%; primary/default-foreground; accent; primary/default-border,heading/sm; heading/md; heading/lg; components/avatar/9px/semibold; components/avatar/11px/semibold,Estilo de gradiente existente primary/15%→secondary/40%; typography de 11/9 px renombrada. El primitive y el ejemplo tienen responsabilidades visuales distintas.
Badge,186:141,src/components/ui/badge.tsx,primary; primary/5%; primary/light-border; primary/default-foreground; background; foreground; border; success; success/foreground; success/light; success/light-border; success/light-foreground; warning/foreground; warning/light-foreground; destructive; destructive/light; destructive/light-border; destructive/light-foreground,,"El ID 186:141 sigue vigente, ahora confirmado dentro de la página 1:32. Actualizar default-foreground además de primary; solid y outline tienen requisitos de contraste distintos."
Breadcrumb,1760:597,src/components/ui/breadcrumb.tsx,muted/foreground; foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Button,1:24,src/components/ui/button.tsx,primary; muted; border; background; foreground; success/light; success/light-border; success/light-foreground; warning/light-foreground; destructive/light; destructive/light-border; destructive/light-foreground; primary-hover; background-hover; success/light-hover; destructive/light-hover; primary-active; background-active; success/light-active; destructive/light-active,,Figma tiene 160 variantes de Button (incluye 16 brand-gradient); código tiene 9 estilos sin brand-gradient. Radio Figma 6 px frente a rounded-md=8 px. Gradiente requiere resolver contraste antes de publicarse.
Button Group,3355:1262,src/components/ui/button-group.tsx,primary; muted; border; background; foreground; success/light; success/light-border; success/light-foreground; warning/light-foreground; destructive/light; destructive/light-border; destructive/light-foreground; primary-hover; background-hover; success/light-hover; destructive/light-hover; primary-active; background-active; success/light-active; destructive/light-active,,"Set 3355:1262, 43 variantes. Hereda el cambio de Button y sus tokens; no confundir sus composiciones con nuevos estilos del primitive."
Calendar,1521:3069,src/components/ui/calendar.tsx,popover; border; foreground; muted/foreground; primary; input; muted; background; success/light-border; success/light; success/light-foreground; warning/light-foreground; primary/15%,,"Revisar primary de selección, muted de rango y los estados success/warning. Sincronizar estilos de texto vigentes; tokens nuevos no garantizan contraste de toda combinación."
Card,1798:3431,src/components/ui/card.tsx,border; primary; foreground; muted/foreground; muted/50%,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Carousel,2782:1341,src/components/ui/carousel.tsx,muted; border; foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Checkbox,1:41,src/components/ui/checkbox.tsx,primary; background; input; foreground; border; primary/default-border; muted/foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Collapsible,1771:929,src/components/ui/collapsible.tsx,foreground; border; muted/foreground; muted; primary,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Combobox,1:39,src/components/ui/combobox.tsx,border; foreground; muted/foreground; accent/50%; input; primary/default-border; primary/15%; accent; accent/foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Context Menu,1675:339,src/components/ui/context-menu.tsx,muted/foreground; popover; border; foreground; destructive; accent; accent/foreground,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Data Table,2366:19504,src/components/ui/data-table.tsx,muted/foreground; border; foreground; input; background,,"Revisar Table, Toolbar, Pagination y controles anidados tras actualizar tokens; hereda la diferencia del encabezado de Table. Mantener TanStack y comportamiento actual."
Date Picker,1:35,,border; foreground; popover; background; muted/foreground; primary; success/light-border; success/light; success/light-foreground; warning/light-foreground; muted; input,,"Es una composición en el manifiesto, no un archivo date-picker.tsx. Cambian Calendar, Button, Popover y su tipografía; probar ambos estados antes de publicar."
Drawer,1290:302,src/components/ui/drawer.tsx,popover; popover/foreground; muted/foreground; primary; border; foreground; muted,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Dropdown Menu,1521:4708,src/components/ui/dropdown-menu.tsx,popover; border; muted/foreground; foreground; accent; accent/foreground; primary,,Actualizar los roles consumidos que difieren entre Figma y código; conservar la API y las variantes documentadas. La coincidencia visual completa queda por validar en Playground tras la sincronización.
Empty,2173:21188,src/components/ui/empty.tsx,primary; border; foreground; muted; muted/foreground,,Actualizar muted-foreground; hover de enlaces usa text-primary y debe evaluarse con el fondo real.
